Product_A,Recommendation_1,Recommendation_2,Recommendation_3,Total_CoPurchase_Count,Total_Incremental_Revenue_Potential
JUMBO BAG VINTAGE DOILY ,LUNCH BAG RED RETROSPOT,LUNCH BAG VINTAGE DOILY ,JUMBO BAG VINTAGE LEAF,604,34652.61000000001
DOORMAT ENGLISH ROSE ,DOORMAT HEARTS,DOORMAT RED RETROSPOT,DOORMAT NEW ENGLAND,342,34555.65000000001
DOORMAT RED RETROSPOT,WHITE HANGING HEART T-LIGHT HOLDER,DOORMAT UNION FLAG,JUMBO BAG RED RETROSPOT,379,33820.88
DOORMAT BLACK FLOCK ,DOORMAT RED RETROSPOT,DOORMAT ENGLISH ROSE ,DOORMAT HEARTS,160,33670.93
HOT WATER BOTTLE KEEP CALM,HOT WATER BOTTLE TEA AND SYMPATHY,SCOTTIE DOG HOT WATER BOTTLE,LOVE HOT WATER BOTTLE,625,33596.199999999975
GIN + TONIC DIET METAL SIGN,PLEASE ONE PERSON METAL SIGN,HAND OVER THE CHOCOLATE   SIGN ,NO SINGING METAL SIGN,642,33475.979999999974
HAND WARMER OWL DESIGN,HAND WARMER SCOTTY DOG DESIGN,HAND WARMER UNION JACK,HAND WARMER RED LOVE HEART,693,33357.89999999997
BLACK RECORD COVER FRAME,"RECORD FRAME 7"" SINGLE SIZE ",REGENCY CAKESTAND 3 TIER,WHITE HANGING HEART T-LIGHT HOLDER,182,33000.17999999998
FELTCRAFT CUSHION BUTTERFLY,FELTCRAFT CUSHION OWL,FELTCRAFT CUSHION RABBIT,PINK CREAM FELT CRAFT TRINKET BOX ,452,32830.399999999994
LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN ,LUNCH BAG SUKI DESIGN ,920,32704.89000000002
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,JUMBO BAG STRAWBERRY,JUMBO STORAGE BAG SUKI,JUMBO SHOPPER VINTAGE RED PAISLEY,504,32451.97000000002
ALARM CLOCK BAKELIKE IVORY,ALARM CLOCK BAKELIKE ORANGE,ALARM CLOCK BAKELIKE RED ,ALARM CLOCK BAKELIKE PINK,686,32272.4
WHITE HANGING HEART T-LIGHT HOLDER,WOODEN FRAME ANTIQUE WHITE ,WOODEN PICTURE FRAME WHITE FINISH,ZINC METAL HEART DECORATION,737,31953.389999999992
PACK OF 72 RETROSPOT CAKE CASES,PACK OF 72 SKULL CAKE CASES,SET/20 RED RETROSPOT PAPER NAPKINS ,REGENCY CAKESTAND 3 TIER,633,31746.760000000013
HAND WARMER BIRD DESIGN,HAND WARMER SCOTTY DOG DESIGN,HAND WARMER OWL DESIGN,HAND WARMER UNION JACK,670,31550.799999999963
JUMBO BAG STRAWBERRY,JUMBO STORAGE BAG SUKI,JUMBO SHOPPER VINTAGE RED PAISLEY,LUNCH BAG RED RETROSPOT,559,31234.120000000017
LUNCH BAG SPACEBOY DESIGN ,LUNCH BAG WOODLAND,LUNCH BAG SUKI DESIGN ,LUNCH BAG VINTAGE LEAF DESIGN,1008,30762.929999999993
WOOD 2 DRAWER CABINET WHITE FINISH,WOOD S/3 CABINET ANT WHITE FINISH,WOODEN FRAME ANTIQUE WHITE ,WOODEN PICTURE FRAME WHITE FINISH,551,30701.750000000007
DOORMAT KEEP CALM AND COME IN,DOORMAT UNION FLAG,GARDENERS KNEELING PAD KEEP CALM ,HOT WATER BOTTLE KEEP CALM,365,30637.46
CHILDRENS CUTLERY POLKADOT BLUE,CHILDRENS CUTLERY POLKADOT PINK,CHILDRENS CUTLERY POLKADOT GREEN ,CHILDRENS CUTLERY RETROSPOT RED ,355,30620.700000000004
ALARM CLOCK BAKELIKE ORANGE,ALARM CLOCK BAKELIKE RED ,ALARM CLOCK BAKELIKE PINK,REGENCY CAKESTAND 3 TIER,494,30521.379999999997
RABBIT NIGHT LIGHT,RED TOADSTOOL LED NIGHT LIGHT,RETROSPOT TEA SET CERAMIC 11 PC ,REGENCY CAKESTAND 3 TIER,279,30275.52999999999
JUMBO BAG VINTAGE LEAF,LUNCH BAG VINTAGE LEAF DESIGN,JUMBO STORAGE BAG SUKI,JUMBO SHOPPER VINTAGE RED PAISLEY,617,30127.059999999998
RECIPE BOX PANTRY YELLOW DESIGN,RECIPE BOX RETROSPOT ,SET OF 3 CAKE TINS PANTRY DESIGN ,SET OF 4 PANTRY JELLY MOULDS,644,30119.77999999996
GUMBALL COAT RACK,WHITE HANGING HEART T-LIGHT HOLDER,POSTAGE,REGENCY CAKESTAND 3 TIER,243,29952.29
RED RETROSPOT CAKE STAND,SET/5 RED RETROSPOT LID GLASS BOWLS,REGENCY CAKESTAND 3 TIER,WHITE HANGING HEART T-LIGHT HOLDER,308,29730.95000000001
IVORY KITCHEN SCALES,RED KITCHEN SCALES,MINT KITCHEN SCALES,SET OF 3 CAKE TINS PANTRY DESIGN ,601,29362.790000000008
NATURAL SLATE HEART CHALKBOARD ,WHITE HANGING HEART T-LIGHT HOLDER,REGENCY CAKESTAND 3 TIER,PARTY BUNTING,520,29191.779999999977
JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO STORAGE BAG SUKI,LUNCH BAG RED RETROSPOT,LUNCH BAG SUKI DESIGN ,601,29124.52000000002
ALARM CLOCK BAKELIKE CHOCOLATE,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE RED ,611,28594.12
DOORMAT HOME SWEET HOME BLUE ,DOORMAT NEW ENGLAND,DOORMAT RED RETROSPOT,DOORMAT KEEP CALM AND COME IN,216,28509.559999999998
FELTCRAFT CUSHION OWL,FELTCRAFT CUSHION RABBIT,PINK CREAM FELT CRAFT TRINKET BOX ,RED FLORAL FELTCRAFT SHOULDER BAG,407,28498.47
LUNCH BAG ALPHABET DESIGN,LUNCH BAG APPLE DESIGN,LUNCH BAG RED RETROSPOT,LUNCH BAG SUKI DESIGN ,823,28388.140000000007
REGENCY TEA PLATE PINK,REGENCY TEA PLATE ROSES ,REGENCY TEAPOT ROSES ,ROSES REGENCY TEACUP AND SAUCER ,438,28150.250000000025
PLASTERS IN TIN CIRCUS PARADE ,PLASTERS IN TIN SPACEBOY,PLASTERS IN TIN STRONGMAN,PLASTERS IN TIN WOODLAND ANIMALS,720,28133.150000000034
HOT WATER BOTTLE I AM SO POORLY,HOT WATER BOTTLE TEA AND SYMPATHY,SCOTTIE DOG HOT WATER BOTTLE,HOT WATER BOTTLE KEEP CALM,535,27961.910000000007
60 CAKE CASES VINTAGE CHRISTMAS,PAPER CHAIN KIT 50'S CHRISTMAS ,PAPER CHAIN KIT VINTAGE CHRISTMAS,SET OF 20 VINTAGE CHRISTMAS NAPKINS,524,27644.68999999998
WOOD BLACK BOARD ANT WHITE FINISH,WOOD S/3 CABINET ANT WHITE FINISH,WOODEN FRAME ANTIQUE WHITE ,WOODEN PICTURE FRAME WHITE FINISH,375,27594.170000000006
BLUE HAPPY BIRTHDAY BUNTING,PINK HAPPY BIRTHDAY BUNTING,PARTY BUNTING,SPOTTY BUNTING,443,27360.50000000001
PLASTERS IN TIN SPACEBOY,PLASTERS IN TIN VINTAGE PAISLEY ,PLASTERS IN TIN WOODLAND ANIMALS,PLASTERS IN TIN STRONGMAN,666,27310.740000000034
LANDMARK FRAME COVENT GARDEN ,LANDMARK FRAME LONDON BRIDGE ,LANDMARK FRAME OXFORD STREET,LANDMARK FRAME NOTTING HILL ,98,26549.9
HOME BUILDING BLOCK WORD,LOVE BUILDING BLOCK WORD,WHITE HANGING HEART T-LIGHT HOLDER,WOODEN PICTURE FRAME WHITE FINISH,600,26076.58
FAIRY CAKE FLANNEL ASSORTED COLOUR,WHITE HANGING HEART T-LIGHT HOLDER,HOMEMADE JAM SCENTED CANDLES,GARDENERS KNEELING PAD KEEP CALM ,77,26038.469999999998
VINTAGE UNION JACK MEMOBOARD,WHITE HANGING HEART T-LIGHT HOLDER,WOOD BLACK BOARD ANT WHITE FINISH,WOODEN UNION JACK BUNTING,95,25533.21
RETROSPOT HEART HOT WATER BOTTLE,WHITE HANGING HEART T-LIGHT HOLDER,SCOTTIE DOG HOT WATER BOTTLE,WHITE SKULL HOT WATER BOTTLE ,411,25517.479999999996
BLACK HEART CARD HOLDER,CREAM HEART CARD HOLDER,NATURAL SLATE HEART CHALKBOARD ,WHITE HANGING HEART T-LIGHT HOLDER,193,25123.029999999988
SET OF 3 REGENCY CAKE TINS,SET OF TEA COFFEE SUGAR TINS PANTRY,SET OF 60 PANTRY DESIGN CAKE CASES ,SPOTTY BUNTING,354,25108.510000000013
JUMBO BAG WOODLAND ANIMALS,JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO STORAGE BAG SUKI,LUNCH BAG WOODLAND,469,24688.05000000001
60 TEATIME FAIRY CAKE CASES,PACK OF 60 DINOSAUR CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,833,24460.959999999966
LANDMARK FRAME CAMDEN TOWN ,LANDMARK FRAME COVENT GARDEN ,LANDMARK FRAME LONDON BRIDGE ,LANDMARK FRAME OXFORD STREET,73,24430.7
HAND OVER THE CHOCOLATE   SIGN ,WHITE HANGING HEART T-LIGHT HOLDER,PLEASE ONE PERSON METAL SIGN,HOT BATHS METAL SIGN,526,24409.369999999995
RED TOADSTOOL LED NIGHT LIGHT,ROUND SNACK BOXES SET OF4 WOODLAND ,RETROSPOT TEA SET CERAMIC 11 PC ,WOODLAND CHARLOTTE BAG,246,24193.05000000001
ALARM CLOCK BAKELIKE RED ,RED DINER WALL CLOCK,ASSORTED COLOUR BIRD ORNAMENT,REGENCY CAKESTAND 3 TIER,394,24191.740000000013
SET OF 6 SPICE TINS PANTRY DESIGN,SET/5 RED RETROSPOT LID GLASS BOWLS,WHITE HANGING HEART T-LIGHT HOLDER,SET OF TEA COFFEE SUGAR TINS PANTRY,257,24170.86999999998
LUNCH BAG SUKI DESIGN ,LUNCH BAG WOODLAND,LUNCH BAG VINTAGE LEAF DESIGN,LUNCH BAG VINTAGE DOILY ,748,23991.010000000013
JUMBO STORAGE BAG SUKI,LUNCH BAG RED RETROSPOT,LUNCH BAG  BLACK SKULL.,LUNCH BAG SUKI DESIGN ,644,23883.800000000017
BLUE DINER WALL CLOCK,IVORY DINER WALL CLOCK,RED DINER WALL CLOCK,REGENCY CAKESTAND 3 TIER,432,23858.050000000003
BREAD BIN DINER STYLE IVORY,BREAD BIN DINER STYLE RED ,REGENCY CAKESTAND 3 TIER,IVORY KITCHEN SCALES,256,23647.56999999999
CIRCUS PARADE LUNCH BOX ,LUNCH BOX I LOVE LONDON,SPACEBOY LUNCH BOX ,DOLLY GIRL LUNCH BOX,393,23476.519999999997
LUNCH BAG WOODLAND,ROUND SNACK BOXES SET OF4 WOODLAND ,RED RETROSPOT CHARLOTTE BAG,WOODLAND CHARLOTTE BAG,464,23370.62000000001
ROSES REGENCY TEACUP AND SAUCER ,WHITE HANGING HEART T-LIGHT HOLDER,SET OF 3 CAKE TINS PANTRY DESIGN ,SET OF 3 REGENCY CAKE TINS,369,23014.670000000013
CHILDRENS CUTLERY POLKADOT PINK,CHILDRENS CUTLERY RETROSPOT RED ,LUNCH BAG RED RETROSPOT,CHILDRENS CUTLERY SPACEBOY ,320,22991.67
GARDENERS KNEELING PAD CUP OF TEA ,GARDENERS KNEELING PAD KEEP CALM ,WHITE HANGING HEART T-LIGHT HOLDER,KNEELING MAT HOUSEWORK  DESIGN,704,22857.52000000003
PLEASE ONE PERSON METAL SIGN,POTTERING IN THE SHED METAL SIGN,YOU'RE CONFUSING ME METAL SIGN ,WHITE HANGING HEART T-LIGHT HOLDER,414,22827.539999999994
BOX OF 6 MINI 50'S CRACKERS,BOX OF 6 MINI VINTAGE CRACKERS,GIANT 50'S CHRISTMAS CRACKER,PAPER CHAIN KIT 50'S CHRISTMAS ,440,22644.350000000006
36 DOILIES VINTAGE CHRISTMAS,SET OF 20 VINTAGE CHRISTMAS NAPKINS,60 CAKE CASES VINTAGE CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS,246,22635.780000000024
JUMBO BAG SPACEBOY DESIGN,LUNCH BAG SPACEBOY DESIGN ,LUNCH BAG RED RETROSPOT,JUMBO STORAGE BAG SUKI,513,22582.430000000026
LANDMARK FRAME BAKER STREET ,LANDMARK FRAME COVENT GARDEN ,LANDMARK FRAME OXFORD STREET,LANDMARK FRAME CAMDEN TOWN ,56,22447.8
SPOTTY BUNTING,VINTAGE UNION JACK BUNTING,WHITE HANGING HEART T-LIGHT HOLDER,WOODEN PICTURE FRAME WHITE FINISH,357,22267.249999999993
CHILDRENS CUTLERY POLKADOT GREEN ,CHILDRENS CUTLERY POLKADOT PINK,CHILDRENS CUTLERY RETROSPOT RED ,JUMBO BAG RED RETROSPOT,256,22255.429999999993
FELTCRAFT PRINCESS CHARLOTTE DOLL,FELTCRAFT PRINCESS OLIVIA DOLL,FELTCRAFT PRINCESS LOLA DOLL,PINK CREAM FELT CRAFT TRINKET BOX ,517,22247.129999999997
SPACEBOY LUNCH BOX ,WOODLAND CHARLOTTE BAG,STRAWBERRY LUNCH BOX WITH CUTLERY,WHITE HANGING HEART T-LIGHT HOLDER,255,22070.119999999995
6 RIBBONS RUSTIC CHARM,SCANDINAVIAN REDS RIBBONS,REGENCY CAKESTAND 3 TIER,WHITE HANGING HEART T-LIGHT HOLDER,411,22006.350000000006
WOODEN FRAME ANTIQUE WHITE ,WOODEN PICTURE FRAME WHITE FINISH,ZINC METAL HEART DECORATION,WOODEN HEART CHRISTMAS SCANDINAVIAN,562,22000.04000000001
PAPER BUNTING RETROSPOT,SET/20 RED RETROSPOT PAPER NAPKINS ,PAPER BUNTING VINTAGE PAISLEY,PARTY BUNTING,344,21941.450000000004
PAPER CHAIN KIT VINTAGE CHRISTMAS,SET OF 20 VINTAGE CHRISTMAS NAPKINS,SET OF 6 RIBBONS VINTAGE CHRISTMAS,VINTAGE CHRISTMAS BUNTING,386,21749.779999999988
FELTCRAFT 6 FLOWER FRIENDS,FELTCRAFT BUTTERFLY HEARTS,PINK BLUE FELT CRAFT TRINKET BOX,PINK CREAM FELT CRAFT TRINKET BOX ,337,21515.81
BOX OF 6 MINI VINTAGE CRACKERS,PAPER CHAIN KIT 50'S CHRISTMAS ,PAPER CHAIN KIT VINTAGE CHRISTMAS,SET OF 20 VINTAGE CHRISTMAS NAPKINS,360,21481.52000000001
HAND WARMER SCOTTY DOG DESIGN,HAND WARMER UNION JACK,SCOTTIE DOG HOT WATER BOTTLE,PAPER CHAIN KIT 50'S CHRISTMAS ,447,21422.42
PINK BLUE FELT CRAFT TRINKET BOX,WHITE HANGING HEART T-LIGHT HOLDER,PINK CREAM FELT CRAFT TRINKET BOX ,RED FLORAL FELTCRAFT SHOULDER BAG,408,21393.9
CHILLI LIGHTS,WHITE HANGING HEART T-LIGHT HOLDER,LUNCH BAG RED RETROSPOT,JUMBO BAG RED RETROSPOT,230,21348.92
LUNCH BOX WITH CUTLERY RETROSPOT ,STRAWBERRY LUNCH BOX WITH CUTLERY,POSTAGE,SKULL LUNCH BOX WITH CUTLERY ,357,20891.360000000015
 SPACEBOY BABY GIFT SET,DOLLY GIRL BABY GIFT SET,SPACEBOY LUNCH BOX ,CIRCUS PARADE BABY GIFT SET,177,20876.64999999998
CHRISTMAS CRAFT LITTLE FRIENDS,CHRISTMAS CRAFT TREE TOP ANGEL,PAPER CHAIN KIT 50'S CHRISTMAS ,CHRISTMAS CRAFT WHITE FAIRY ,544,20715.710000000006
FELTCRAFT BUTTERFLY HEARTS,FELTCRAFT CUSHION RABBIT,PINK BLUE FELT CRAFT TRINKET BOX,PINK CREAM FELT CRAFT TRINKET BOX ,329,20599.149999999998
LUNCH BOX I LOVE LONDON,SPACEBOY LUNCH BOX ,PACK OF 12 LONDON TISSUES ,WHITE HANGING HEART T-LIGHT HOLDER,382,20589.999999999993
EDWARDIAN PARASOL NATURAL,EDWARDIAN PARASOL RED,EDWARDIAN PARASOL PINK,RED RETROSPOT UMBRELLA,301,20297.34999999999
HAND WARMER RED RETROSPOT,HAND WARMER SCOTTY DOG DESIGN,HAND WARMER UNION JACK,HOT WATER BOTTLE KEEP CALM,423,20136.119999999988
PLASTERS IN TIN STRONGMAN,PLASTERS IN TIN VINTAGE PAISLEY ,PLASTERS IN TIN WOODLAND ANIMALS,POSTAGE,447,19918.04000000002
JUMBO STORAGE BAG SKULLS,JUMBO STORAGE BAG SUKI,LUNCH BAG  BLACK SKULL.,LUNCH BAG RED RETROSPOT,529,19787.740000000013
SET OF 12 FAIRY CAKE BAKING CASES,SET OF 12 MINI LOAF BAKING CASES,SET OF 6 SNACK LOAF BAKING CASES,SET OF 6 TEA TIME BAKING CASES,663,19776.479999999996
LONDON BUS COFFEE MUG,QUEENS GUARD COFFEE MUG,PACK OF 12 LONDON TISSUES ,LUNCH BOX I LOVE LONDON,293,19668.210000000006
RED RETROSPOT CHARLOTTE BAG,WOODLAND CHARLOTTE BAG,WHITE HANGING HEART T-LIGHT HOLDER,STRAWBERRY CHARLOTTE BAG,705,19530.089999999997
CHILDS BREAKFAST SET DOLLY GIRL ,CHILDS BREAKFAST SET SPACEBOY ,DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX ,217,19399.950000000004
PACK OF 60 PINK PAISLEY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,PACK OF 72 SKULL CAKE CASES,PACK OF 60 SPACEBOY CAKE CASES,641,19356.149999999958
LUNCH BAG DOILEY PATTERN ,LUNCH BAG SUKI DESIGN ,LUNCH BAG RED RETROSPOT,LUNCH BAG VINTAGE LEAF DESIGN,463,19224.95
JUMBO BAG PAISLEY PARK,LUNCH BAG PAISLEY PARK  ,VINTAGE DOILY JUMBO BAG RED ,JUMBO BAG VINTAGE DOILY ,357,19166.110000000008
IVORY DINER WALL CLOCK,RED DINER WALL CLOCK,REGENCY CAKESTAND 3 TIER,IVORY KITCHEN SCALES,356,19134.9
CANDLEHOLDER PINK HANGING HEART,WHITE HANGING HEART T-LIGHT HOLDER,RED HANGING HEART T-LIGHT HOLDER,HEART OF WICKER SMALL,478,19114.349999999988
BLUE SPOT CERAMIC DRAWER KNOB,BLUE STRIPE CERAMIC DRAWER KNOB,RED SPOT CERAMIC DRAWER KNOB,RED STRIPE CERAMIC DRAWER KNOB,515,19079.16000000001
BLUE STRIPE CERAMIC DRAWER KNOB,RED SPOT CERAMIC DRAWER KNOB,WHITE SPOT RED CERAMIC DRAWER KNOB,RED STRIPE CERAMIC DRAWER KNOB,539,18988.730000000014
RED KITCHEN SCALES,REGENCY CAKESTAND 3 TIER,WHITE HANGING HEART T-LIGHT HOLDER,SET OF 3 CAKE TINS PANTRY DESIGN ,269,18959.969999999994
JUMBO BAG DOLLY GIRL DESIGN,JUMBO BAG RED RETROSPOT,JUMBO BAG SPACEBOY DESIGN,JUMBO STORAGE BAG SUKI,444,18871.30000000001
BLUE VINTAGE SPOT BEAKER,GREEN VINTAGE SPOT BEAKER,PINK VINTAGE SPOT BEAKER,RED VINTAGE SPOT BEAKER,323,18752.120000000003
